,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
1385,1777,-,-,-,178,116,161,161,1420.1,11,3193,-,.---,5086,Kansas City Royals,1970
1386,1777,-,-,-,180,123,162,162,1474.2,33,3328,-,.---,5228,Atlanta Braves,1970
1387,1735,-,-,-,144,135,161,161,1438.0,5,3343,-,.---,5213,San Diego Padres,1970
1388,1812,-,-,-,128,141,162,162,1450.1,32,3410,-,.---,5363,Chicago White Sox,1970
1389,1732,-,-,-,153,157,162,162,1454.2,23,3292,-,.---,5181,San Francisco Giants,1970
1390,1533,-,-,-,134,86,161,161,1461.0,19,3364,-,.---,4983,Philadelphia Phillies,1969
1391,1914,-,-,-,173,98,162,162,1457.2,12,3400,-,.---,5412,Washington Senators,1969
1392,1746,-,-,-,169,100,162,162,1462.1,27,3370,-,.---,5216,California Angels,1969
1393,1492,-,-,-,136,97,162,162,1459.2,6,3337,-,.---,4926,New York Mets,1969
1394,1603,-,-,-,130,98,162,162,1448.1,11,3248,-,.---,4949,Minnesota Twins,1969
1395,1654,-,-,-,148,101,162,162,1478.2,12,3327,-,.---,5082,Baltimore Orioles,1969
1396,1881,-,-,-,195,113,162,162,1453.2,20,3492,-,.---,5486,Pittsburgh Pirates,1969
1397,1757,-,-,-,144,109,162,162,1456.0,12,3415,-,.---,5281,Houston Astros,1969
1398,1709,-,-,-,142,109,163,163,1446.2,9,3359,-,.---,5177,Milwaukee Brewers,1969
1399,1712,-,-,-,168,113,162,162,1451.1,23,3444,-,.---,5269,Cleveland Indians,1969
1400,1725,-,-,-,135,111,161,161,1458.2,17,3333,-,.---,5169,Los Angeles Dodgers,1969
1401,1899,-,-,-,146,118,163,163,1471.2,12,3391,-,.---,5408,New York Yankees,1969
1402,1803,-,-,-,159,121,162,162,1475.2,20,3505,-,.---,5429,St. Louis Cardinals,1969
1403,1641,-,-,-,152,113,162,162,1442.2,12,3298,-,.---,5052,Oakland Athletics,1969
1404,1756,-,-,-,146,120,162,162,1435.0,19,3385,-,.---,5261,Chicago Cubs,1969
1405,1667,-,-,-,118,120,162,162,1430.2,30,3315,-,.---,5102,Atlanta Braves,1969
1406,1719,-,-,-,193,124,162,162,1438.2,12,3346,-,.---,5189,Montreal Expos,1969
1407,1617,-,-,-,142,122,162,162,1447.1,15,3329,-,.---,5068,Detroit Tigers,1969
1408,1767,-,-,-,159,128,162,162,1440.1,3,3378,-,.---,5273,San Diego Padres,1969
1409,1560,-,-,-,131,125,162,162,1446.1,13,3327,-,.---,5012,Boston Red Sox,1969
1410,1807,-,-,-,173,133,162,162,1444.2,10,3364,-,.---,5304,Cincinnati Reds,1969
1411,1671,-,-,-,162,130,162,162,1463.2,16,3351,-,.---,5152,Kansas City Royals,1969
1412,2009,-,-,-,187,146,162,162,1430.1,27,3382,-,.---,5537,Chicago White Sox,1969
1413,1733,-,-,-,153,139,162,162,1457.2,30,3388,-,.---,5260,San Francisco Giants,1969
1414,1692,-,-,-,145,85,162,162,1473.2,14,3370,-,.---,5147,Baltimore Orioles,1968
1415,1615,-,-,-,114,95,162,162,1445.0,31,3312,-,.---,5022,Atlanta Braves,1968
1416,1838,-,-,-,159,101,162,162,1447.1,13,3381,-,.---,5320,Washington Senators,1968
1417,1839,-,-,-,149,104,163,163,1454.1,11,3509,-,.---,5452,Chicago Cubs,1968
1418,1804,-,-,-,130,103,162,162,1457.0,17,3454,-,.---,5361,Los Angeles Dodgers,1968
1419,1952,-,-,-,163,106,162,162,1437.2,36,3403,-,.---,5461,Chicago White Sox,1968
1420,1570,-,-,-,130,103,162,162,1455.1,11,3328,-,.---,5001,Detroit Tigers,1968
1421,1839,-,-,-,158,110,162,162,1440.2,19,3337,-,.---,5286,New York Yankees,1968
1422,1754,-,-,-,162,110,162,162,1480.2,26,3405,-,.---,5269,Oakland Athletics,1968
1423,1663,-,-,-,146,110,162,162,1468.1,7,3410,-,.---,5183,New York Mets,1968
1424,1717,-,-,-,157,115,162,162,1434.0,22,3309,-,.---,5141,Philadelphia Phillies,1968
1425,1656,-,-,-,144,117,162,162,1460.1,17,3409,-,.---,5182,St. Louis Cardinals,1968
1426,1707,-,-,-,164,118,163,163,1438.1,30,3315,-,.---,5140,California Angels,1968
1427,1773,-,-,-,140,121,162,162,1422.1,21,3288,-,.---,5182,San Diego Padres,1968
1428,1559,-,-,-,153,119,161,161,1437.0,21,3292,-,.---,4970,Cleveland Indians,1968
1429,1748,-,-,-,169,128,162,162,1445.2,17,3464,-,.---,5340,Pittsburgh Pirates,1968
1430,1591,-,-,-,136,127,162,162,1435.2,15,3459,-,.---,5177,Houston Astros,1968
1431,1746,-,-,-,178,131,162,162,1466.2,21,3460,-,.---,5337,Boston Red Sox,1968
1432,1897,-,-,-,155,138,162,162,1473.2,19,3481,-,.---,5516,San Francisco Giants,1968
1433,1818,-,-,-,177,136,162,162,1497.2,18,3454,-,.---,5408,Minnesota Twins,1968
1434,1733,-,-,-,158,133,163,163,1465.0,17,3352,-,.---,5218,Cincinnati Reds,1968
1435,1718,-,-,-,149,140,163,163,1463.2,21,3420,-,.---,5278,Seattle Pilots,1968
1436,1599,-,-,-,114,134,163,163,1464.2,17,3278,-,.---,5011,Kansas City Royals,1968
1437,1749,-,-,-,179,147,162,162,1426.0,23,3378,-,.---,5274,Montreal Expos,1968
1438,1593,-,-,-,133,89,164,164,1489.2,12,3464,-,.---,5146,Detroit Tigers,1967
1439,1874,-,-,-,149,95,163,163,1453.2,9,3434,-,.---,5403,Chicago Cubs,1967
1440,1770,-,-,-,139,103,163,163,1474.2,14,3387,-,.---,5260,Atlanta Braves,1967
1441,1819,-,-,-,163,105,162,162,1448.1,19,3416,-,.---,5340,Philadelphia Phillies,1967
1442,1666,-,-,-,131,102,162,162,1451.0,24,3413,-,.---,5181,Baltimore Orioles,1967
1443,1963,-,-,-,162,112,163,163,1487.0,11,3503,-,.---,5578,Pittsburgh Pirates,1967
1444,1736,-,-,-,142,108,163,163,1483.1,11,3469,-,.---,5313,New York Mets,1967
1445,1431,-,-,-,130,104,162,162,1464.1,22,3366,-,.---,4901,Cleveland Indians,1967
1446,1656,-,-,-,135,110,162,162,1479.1,10,3402,-,.---,5168,St. Louis Cardinals,1967
1447,1937,-,-,-,142,119,164,164,1467.1,7,3463,-,.---,5519,New York Yankees,1967
1448,1804,-,-,-,144,120,163,163,1490.1,19,3539,-,.---,5463,Cincinnati Reds,1967
1449,1762,-,-,-,144,119,162,162,1448.2,17,3428,-,.---,5309,Los Angeles Dodgers,1967
1450,1647,-,-,-,147,115,162,162,1447.0,19,3321,-,.---,5083,Boston Red Sox,1967
1451,1906,-,-,-,152,124,162,162,1468.0,16,3434,-,.---,5464,Chicago White Sox,1967
1452,1618,-,-,-,136,120,163,163,1455.2,20,3398,-,.---,5136,Oakland Athletics,1967
1453,1670,-,-,-,129,124,162,162,1446.2,15,3465,-,.---,5259,Houston Astros,1967
1454,1742,-,-,-,144,126,161,161,1439.2,21,3350,-,.---,5218,Washington Senators,1967
1455,1686,-,-,-,156,128,162,162,1437.0,18,3285,-,.---,5099,California Angels,1967
1456,1798,-,-,-,125,136,163,163,1469.0,23,3457,-,.---,5391,San Francisco Giants,1967
1457,1687,-,-,-,117,148,162,162,1433.1,9,3352,-,.---,5187,Minnesota Twins,1967
1458,1674,-,-,-,135,89,161,161,1430.1,13,3287,-,.---,5050,California Angels,1966
1459,1590,-,-,-,138,95,162,162,1477.2,29,3519,-,.---,5204,Cleveland Indians,1966
1460,1883,-,-,-,149,105,162,162,1474.1,18,3532,-,.---,5520,San Francisco Giants,1966
1461,1826,-,-,-,143,102,162,162,1457.0,4,3412,-,.---,5340,Chicago Cubs,1966
1462,1669,-,-,-,144,105,161,161,1457.1,17,3393,-,.---,5167,Baltimore Orioles,1966
1463,1928,-,-,-,186,114,163,163,1458.1,15,3455,-,.---,5497,Pittsburgh Pirates,1966
1464,1576,-,-,-,124,106,162,162,1468.0,12,3412,-,.---,5094,Cincinnati Reds,1966
1465,1762,-,-,-,148,111,162,162,1454.0,42,3411,-,.---,5284,Atlanta Braves,1966
1466,1634,-,-,-,126,109,163,163,1443.2,19,3362,-,.---,5105,Detroit Tigers,1966
1467,1920,-,-,-,149,119,162,162,1490.1,30,3527,-,.---,5566,Chicago White Sox,1966
1468,1485,-,-,-,120,108,161,161,1428.0,17,3284,-,.---,4877,Kansas City Athletics,1966
1469,1763,-,-,-,174,119,162,162,1453.2,16,3388,-,.---,5270,Philadelphia Phillies,1966
1470,1685,-,-,-,127,117,161,161,1465.0,10,3357,-,.---,5159,St. Louis Cardinals,1966
1471,1844,-,-,-,167,125,161,161,1473.1,16,3458,-,.---,5427,Washington Senators,1966
1472,1893,-,-,-,144,128,163,163,1480.2,8,3507,-,.---,5528,New York Yankees,1966
1473,1566,-,-,-,123,118,164,164,1461.0,14,3379,-,.---,5063,Minnesota Twins,1966
1474,1586,-,-,-,142,122,162,162,1459.1,8,3399,-,.---,5107,Boston Red Sox,1966
1475,1625,-,-,-,120,126,162,162,1445.2,23,3403,-,.---,5154,Houston Astros,1966
1476,1793,-,-,-,147,130,162,162,1433.2,22,3368,-,.---,5291,New York Mets,1966
1477,1866,-,-,-,144,136,162,162,1473.0,13,3484,-,.---,5486,Los Angeles Dodgers,1966
1478,1794,-,-,-,147,94,162,162,1459.2,17,3453,-,.---,5341,Philadelphia Phillies,1965
1479,1627,-,-,-,142,97,160,160,1466.1,23,3450,-,.---,5174,Baltimore Orioles,1965
1480,1512,-,-,-,133,99,160,160,1436.0,11,3389,-,.---,5000,Cincinnati Reds,1965
1481,1875,-,-,-,215,109,162,162,1463.1,16,3439,-,.---,5423,Pittsburgh Pirates,1965
1482,1748,-,-,-,128,108,162,162,1458.0,11,3461,-,.---,5317,Los Angeles Dodgers,1965
1483,1591,-,-,-,142,106,162,162,1454.1,7,3335,-,.---,5032,Detroit Tigers,1965
1484,1807,-,-,-,166,119,162,162,1459.2,11,3381,-,.---,5307,St. Louis Cardinals,1965
1485,1826,-,-,-,186,120,162,162,1457.1,16,3381,-,.---,5327,California Angels,1965
1486,1804,-,-,-,142,120,160,160,1415.2,9,3314,-,.---,5238,New York Yankees,1965
1487,1562,-,-,-,118,117,162,162,1438.2,5,3280,-,.---,4959,Minnesota Twins,1965
1488,1609,-,-,-,154,119,160,160,1435.0,20,3287,-,.---,5015,Kansas City Athletics,1965
1489,1569,-,-,-,132,123,162,162,1467.1,16,3451,-,.---,5143,Cleveland Indians,1965
1490,1661,-,-,-,139,120,159,159,1419.0,14,3213,-,.---,4994,Washington Senators,1965
1491,1948,-,-,-,171,133,161,161,1427.0,16,3388,-,.---,5469,New York Mets,1965
1492,1942,-,-,-,149,141,163,163,1475.1,24,3485,-,.---,5568,Chicago White Sox,1965
1493,1699,-,-,-,139,132,163,163,1469.1,27,3371,-,.---,5202,Atlanta Braves,1965
1494,1782,-,-,-,131,141,161,161,1476.2,23,3498,-,.---,5421,San Francisco Giants,1965
1495,1845,-,-,-,132,141,162,162,1458.0,18,3426,-,.---,5412,Chicago Cubs,1965
1496,1675,-,-,-,153,137,162,162,1463.2,13,3427,-,.---,5239,Boston Red Sox,1965
1497,1618,-,-,-,126,139,163,163,1443.2,25,3351,-,.---,5108,Houston Astros,1965
1498,1830,-,-,-,149,98,162,162,1441.2,20,3380,-,.---,5308,Los Angeles Angels,1964
1499,1552,-,-,-,127,97,162,162,1458.1,24,3465,-,.---,5114,Cleveland Indians,1964
1500,1575,-,-,-,126,97,162,162,1455.0,22,3409,-,.---,5081,Detroit Tigers,1964
1501,1721,-,-,-,152,102,162,162,1461.1,23,3380,-,.---,5203,St. Louis Cardinals,1964
1502,1917,-,-,-,156,109,162,162,1481.2,45,3527,-,.---,5553,Chicago White Sox,1964
1503,1786,-,-,-,166,107,162,162,1459.2,20,3480,-,.---,5373,New York Yankees,1964
1504,1796,-,-,-,135,111,162,162,1476.0,9,3516,-,.---,5423,Los Angeles Dodgers,1964
1505,1521,-,-,-,142,104,162,162,1457.1,15,3421,-,.---,5046,Cincinnati Reds,1964
1506,1741,-,-,-,152,111,162,162,1477.2,12,3381,-,.---,5233,Baltimore Orioles,1964
1507,1936,-,-,-,189,120,163,163,1479.0,12,3501,-,.---,5557,Pittsburgh Pirates,1964
1508,1719,-,-,-,145,118,162,162,1447.2,28,3385,-,.---,5222,Milwaukee Braves,1964
1509,1725,-,-,-,130,125,162,162,1461.0,25,3427,-,.---,5277,Houston Astros,1964
1510,1619,-,-,-,148,120,162,162,1435.2,18,3315,-,.---,5054,Washington Senators,1964
1511,1585,-,-,-,142,119,162,162,1433.0,20,3272,-,.---,4976,Kansas City Athletics,1964
1512,1674,-,-,-,124,129,163,163,1465.1,26,3462,-,.---,5265,San Francisco Giants,1964
1513,1976,-,-,-,166,143,164,164,1472.0,14,3502,-,.---,5621,Chicago Cubs,1964
1514,1730,-,-,-,153,138,162,162,1468.2,21,3482,-,.---,5350,Philadelphia Phillies,1964
1515,1908,-,-,-,153,143,164,164,1454.2,19,3414,-,.---,5465,New York Mets,1964
1516,1614,-,-,-,129,138,162,162,1439.1,14,3327,-,.---,5079,Boston Red Sox,1964
1517,1733,-,-,-,158,144,162,162,1457.1,16,3384,-,.---,5261,Minnesota Twins,1964
1518,1681,-,-,-,159,70,163,163,1458.2,20,3343,-,.---,5094,Baltimore Orioles,1963
1519,1832,-,-,-,158,98,164,164,1506.2,12,3592,-,.---,5522,New York Yankees,1963
1520,1652,-,-,-,149,98,164,164,1487.2,27,3529,-,.---,5279,Cleveland Indians,1963
1521,1609,-,-,-,137,97,163,163,1453.0,14,3370,-,.---,5076,Detroit Tigers,1963
1522,1776,-,-,-,164,103,162,162,1467.2,35,3463,-,.---,5342,Chicago White Sox,1963
1523,1680,-,-,-,145,105,162,162,1435.1,19,3252,-,.---,5037,Washington Senators,1963
1524,1758,-,-,-,124,113,162,162,1428.0,23,3383,-,.---,5254,Houston Colt 45's,1963
1525,1570,-,-,-,137,112,163,163,1467.0,18,3495,-,.---,5177,Cincinnati Reds,1963
1526,1820,-,-,-,168,119,162,162,1450.2,8,3475,-,.---,5414,Los Angeles Angels,1963
1527,2032,-,-,-,147,125,162,162,1445.0,15,3444,-,.---,5601,Chicago Cubs,1963
1528,1727,-,-,-,139,116,162,162,1434.2,16,3338,-,.---,5181,Milwaukee Braves,1963
1529,1514,-,-,-,123,117,162,162,1422.0,9,3307,-,.---,4938,Boston Red Sox,1963
1530,1623,-,-,-,131,126,163,163,1477.2,18,3427,-,.---,5176,Minnesota Twins,1963
1531,1640,-,-,-,152,126,163,163,1455.2,18,3386,-,.---,5152,Kansas City Athletics,1963
1532,1685,-,-,-,136,131,162,162,1476.1,11,3503,-,.---,5319,San Francisco Giants,1963
1533,1895,-,-,-,179,142,162,162,1443.2,15,3492,-,.---,5529,Pittsburgh Pirates,1963
1534,1746,-,-,-,147,141,162,162,1445.1,19,3390,-,.---,5277,St. Louis Cardinals,1963
1535,1876,-,-,-,154,143,163,163,1438.2,32,3318,-,.---,5337,New York Mets,1963
1536,1633,-,-,-,150,141,162,162,1461.0,21,3446,-,.---,5220,Philadelphia Phillies,1963
1537,1676,-,-,-,126,150,164,164,1483.2,14,3454,-,.---,5280,Los Angeles Dodgers,1963
1538,1676,-,-,-,157,76,162,162,1452.0,11,3370,-,.---,5122,Baltimore Orioles,1962
1539,1690,-,-,-,162,89,161,161,1449.0,9,3393,-,.---,5172,New York Yankees,1962
1540,1822,-,-,-,161,105,163,163,1471.2,15,3468,-,.---,5395,Milwaukee Braves,1962
1541,1604,-,-,-,124,102,162,162,1456.1,21,3289,-,.---,4995,Detroit Tigers,1962
1542,1738,-,-,-,163,110,162,162,1469.0,23,3397,-,.---,5245,Chicago White Sox,1962
1543,1682,-,-,-,131,109,162,162,1458.0,11,3375,-,.---,5166,Kansas City Athletics,1962
1544,1548,-,-,-,119,112,161,161,1449.2,12,3300,-,.---,4960,Boston Red Sox,1962
1545,1792,-,-,-,147,124,162,162,1457.1,13,3478,-,.---,5394,Philadelphia Phillies,1962
1546,1544,-,-,-,127,117,162,162,1439.2,17,3376,-,.---,5037,Cincinnati Reds,1962
1547,1915,-,-,-,172,132,162,162,1457.0,19,3437,-,.---,5484,Chicago Cubs,1962
1548,1719,-,-,-,129,129,163,163,1469.2,15,3484,-,.---,5332,Los Angeles Dodgers,1962
1549,1584,-,-,-,113,125,162,162,1469.0,13,3403,-,.---,5112,San Francisco Giants,1962
1550,1564,-,-,-,140,122,161,161,1446.1,13,3292,-,.---,4978,Minnesota Twins,1962
1551,1567,-,-,-,129,127,162,162,1469.0,12,3388,-,.---,5082,Cleveland Indians,1962
1552,1808,-,-,-,155,134,161,161,1455.1,18,3383,-,.---,5325,Los Angeles Angels,1962
1553,1584,-,-,-,136,129,162,162,1463.1,20,3357,-,.---,5070,St. Louis Cardinals,1962
1554,1942,-,-,-,195,154,162,162,1448.0,15,3490,-,.---,5586,Pittsburgh Pirates,1962
1555,1593,-,-,-,100,145,162,162,1450.1,22,3362,-,.---,5100,Houston Colt 45's,1962
1556,1787,-,-,-,165,163,162,162,1447.0,17,3266,-,.---,5216,Washington Senators,1962
1557,1851,-,-,-,151,189,162,162,1427.2,24,3389,-,.---,5429,New York Mets,1962
1558,1729,-,-,-,153,93,162,162,1451.2,13,3301,-,.---,5123,Chicago White Sox,1961
1559,1685,-,-,-,152,97,162,162,1462.1,32,3324,-,.---,5106,Baltimore Orioles,1961
1560,1780,-,-,-,154,99,162,162,1434.2,13,3319,-,.---,5198,Milwaukee Braves,1961
1561,1753,-,-,-,173,109,163,163,1463.1,13,3404,-,.---,5266,Minnesota Twins,1961
1562,1736,-,-,-,151,108,162,162,1470.1,7,3361,-,.---,5205,New York Yankees,1961
1563,1872,-,-,-,171,114,162,162,1438.1,33,3375,-,.---,5361,Chicago Cubs,1961
1564,1687,-,-,-,131,109,162,162,1434.0,25,3314,-,.---,5110,Kansas City Athletics,1961
1565,1662,-,-,-,152,110,160,160,1437.2,12,3295,-,.---,5067,Boston Red Sox,1961
1566,1792,-,-,-,170,118,163,163,1463.1,23,3447,-,.---,5357,St. Louis Cardinals,1961
1567,1752,-,-,-,160,118,162,162,1445.0,15,3287,-,.---,5157,Washington Senators,1961
1568,1669,-,-,-,167,116,161,161,1426.2,20,3266,-,.---,5051,Philadelphia Phillies,1961
1569,1685,-,-,-,168,117,162,162,1441.0,16,3291,-,.---,5093,Cleveland Indians,1961
1570,1799,-,-,-,177,122,161,161,1432.1,24,3349,-,.---,5270,Pittsburgh Pirates,1961
1571,1625,-,-,-,153,119,165,165,1461.2,13,3339,-,.---,5083,San Francisco Giants,1961
1572,1648,-,-,-,144,125,162,162,1460.2,22,3428,-,.---,5201,Cincinnati Reds,1961
1573,1739,-,-,-,149,141,162,162,1453.2,25,3479,-,.---,5359,Houston Colt 45's,1961
1574,1761,-,-,-,153,153,162,162,1466.0,16,3386,-,.---,5300,Los Angeles Angels,1961
1575,1415,-,-,-,114,138,161,161,1443.2,10,3169,-,.---,4722,Detroit Tigers,1961
1576,1685,-,-,-,144,158,165,165,1488.2,17,3501,-,.---,5344,Los Angeles Dodgers,1961
1577,1859,-,-,-,167,180,161,161,1430.0,26,3330,-,.---,5369,New York Mets,1961
1578,1817,-,-,-,152,88,155,155,1391.1,11,3184,-,.---,5089,Milwaukee Braves,1960
1579,1725,-,-,-,180,102,163,163,1451.0,13,3364,-,.---,5191,New York Yankees,1960
1580,1755,-,-,-,138,101,163,163,1448.2,6,3262,-,.---,5118,Chicago White Sox,1960
1581,1747,-,-,-,173,105,163,163,1471.1,30,3438,-,.---,5290,Baltimore Orioles,1960
1582,1550,-,-,-,124,110,154,154,1370.0,23,3130,-,.---,4790,Cincinnati Reds,1960
1583,1699,-,-,-,170,120,163,163,1442.2,19,3288,-,.---,5107,Boston Red Sox,1960
1584,1540,-,-,-,162,118,154,154,1378.1,14,3255,-,.---,4913,Los Angeles Dodgers,1960
1585,1481,-,-,-,126,116,155,155,1388.0,10,3203,-,.---,4800,San Francisco Giants,1960
1586,1757,-,-,-,179,123,155,155,1383.1,26,3176,-,.---,5056,Philadelphia Phillies,1960
1587,1610,-,-,-,142,120,161,161,1443.1,14,3186,-,.---,4916,Cleveland Indians,1960
1588,1749,-,-,-,187,126,154,154,1362.0,19,3116,-,.---,4991,Pittsburgh Pirates,1960
1589,1513,-,-,-,147,124,163,163,1459.1,13,3153,-,.---,4790,Detroit Tigers,1960
1590,1816,-,-,-,171,134,161,161,1425.0,23,3199,-,.---,5149,Washington Senators,1960
1591,1600,-,-,-,150,142,161,161,1432.1,16,3267,-,.---,5009,Minnesota Twins,1960
1592,1719,-,-,-,160,145,162,162,1415.0,17,3231,-,.---,5095,Kansas City Athletics,1960
1593,1718,-,-,-,165,143,155,155,1368.2,17,3153,-,.---,5014,St. Louis Cardinals,1960
1594,1714,-,-,-,154,153,162,162,1438.0,24,3354,-,.---,5221,Los Angeles Angels,1960
1595,1806,-,-,-,175,155,156,156,1385.0,35,3241,-,.---,5202,Chicago Cubs,1960
1596,1756,-,-,-,175,87,154,154,1381.0,6,3176,-,.---,5019,Chicago White Sox,1959
1597,1646,-,-,-,172,95,154,154,1375.2,24,3149,-,.---,4890,Baltimore Orioles,1959
1598,1612,-,-,-,155,99,154,154,1390.1,10,3151,-,.---,4862,Cincinnati Reds,1959
1599,1727,-,-,-,163,103,155,155,1399.2,10,3226,-,.---,5056,Pittsburgh Pirates,1959
1600,1617,-,-,-,142,108,154,154,1398.0,18,3365,-,.---,5090,Los Angeles Dodgers,1959
1601,1762,-,-,-,162,111,155,155,1398.0,14,3189,-,.---,5062,New York Yankees,1959
1602,1625,-,-,-,149,113,155,155,1374.0,17,3101,-,.---,4839,Kansas City Athletics,1959
1603,1550,-,-,-,165,111,154,154,1382.1,14,3074,-,.---,4735,Cleveland Indians,1959
1604,1603,-,-,-,152,117,155,155,1371.0,7,3179,-,.---,4899,St. Louis Cardinals,1959
1605,1633,-,-,-,137,121,154,154,1387.1,16,3169,-,.---,4923,Milwaukee Braves,1959
1606,1720,-,-,-,133,124,156,156,1402.2,15,3201,-,.---,5045,Chicago Cubs,1959
1607,1583,-,-,-,138,122,154,154,1405.2,14,3193,-,.---,4898,Detroit Tigers,1959
1608,1609,-,-,-,156,121,154,154,1361.0,12,3110,-,.---,4840,Boston Red Sox,1959
1609,1683,-,-,-,159,134,154,154,1405.1,19,3188,-,.---,5005,Washington Senators,1959
1610,1574,-,-,-,129,130,154,154,1375.1,15,3028,-,.---,4732,Philadelphia Phillies,1959
1611,1570,-,-,-,117,141,156,156,1396.0,7,3196,-,.---,4907,San Francisco Giants,1959
1612,1646,-,-,-,154,95,156,156,1411.2,19,3417,-,.---,5158,Los Angeles Dodgers,1958
1613,1700,-,-,-,138,100,157,157,1400.2,5,3217,-,.---,5017,Milwaukee Braves,1958
1614,1715,-,-,-,141,109,156,156,1425.1,10,3223,-,.---,5047,Chicago White Sox,1958
1615,1713,-,-,-,160,113,155,155,1399.0,11,3246,-,.---,5072,New York Yankees,1958
1616,1560,-,-,-,157,107,154,154,1357.1,6,3025,-,.---,4692,Cincinnati Redlegs,1958
1617,1559,-,-,-,138,109,154,154,1383.2,6,3098,-,.---,4766,Cleveland Indians,1958
1618,1657,0,-,-,167,114,154,154,1364.0,13,3122,0,.---,4893,Boston Red Sox,1958
1619,1498,-,-,-,131,110,154,154,1360.0,14,3073,-,.---,4681,Detroit Tigers,1958
1620,1684,0,-,-,165,115,155,155,1393.1,10,3090,0,.---,4889,Pittsburgh Pirates,1958
1621,1642,-,-,-,158,116,154,154,1363.0,15,3145,-,.---,4903,St. Louis Cardinals,1958
1622,1731,-,-,-,163,120,155,155,1400.1,49,3219,-,.---,5070,Baltimore Orioles,1958
1623,1727,-,-,-,142,124,155,155,1391.0,12,3155,-,.---,5006,Chicago Cubs,1958
1624,1618,-,-,-,118,127,154,154,1376.1,7,3165,-,.---,4910,San Francisco Giants,1958
1625,1763,-,-,-,140,133,154,154,1360.0,19,3151,-,.---,5047,Washington Senators,1958
1626,1624,-,-,-,156,137,154,154,1360.2,15,3073,-,.---,4834,Kansas City Athletics,1958
1627,1540,-,-,-,132,134,155,155,1354.0,14,3050,-,.---,4724,Philadelphia Phillies,1958
1628,1612,-,-,-,148,89,154,154,1385.1,8,3131,-,.---,4832,Cincinnati Redlegs,1957
1629,1633,-,-,-,160,94,155,155,1389.2,11,3167,-,.---,4894,Chicago White Sox,1957
1630,1770,-,-,-,152,99,154,154,1376.0,6,3181,-,.---,5050,Milwaukee Braves,1957
1631,1518,-,-,-,140,91,154,154,1357.1,16,3030,-,.---,4639,Detroit Tigers,1957
1632,1501,-,-,-,159,95,154,154,1369.2,14,3069,-,.---,4665,Baltimore Orioles,1957
1633,1622,-,-,-,163,102,156,156,1376.2,15,3133,-,.---,4857,Washington Senators,1957
1634,1470,-,-,-,136,98,154,154,1397.0,21,3093,-,.---,4661,Philadelphia Phillies,1957
1635,1654,-,-,-,182,105,155,155,1379.0,9,3184,-,.---,4943,New York Yankees,1957
1636,1690,-,-,-,166,105,156,156,1398.1,34,3134,-,.---,4929,Kansas City Athletics,1957
1637,1670,-,-,-,173,114,154,154,1367.0,14,3007,-,.---,4791,Pittsburgh Pirates,1957
1638,1769,-,-,-,172,122,155,155,1380.0,9,3165,-,.---,5056,Boston Red Sox,1957
1639,1666,-,-,-,156,122,154,154,1389.1,8,3138,-,.---,4926,San Francisco Giants,1957
1640,1665,-,-,-,198,130,154,154,1368.1,6,3218,-,.---,5013,Los Angeles Dodgers,1957
1641,1639,-,-,-,163,131,154,154,1381.2,13,3159,-,.---,4929,St. Louis Cardinals,1957
1642,1649,-,-,-,161,134,154,154,1361.0,12,3137,-,.---,4920,Chicago Cubs,1957
1643,1526,-,-,-,171,130,153,153,1373.1,35,3055,-,.---,4711,Cleveland Indians,1957
1644,1753,-,-,-,169,89,155,155,1401.2,11,3196,-,.---,5038,Chicago White Sox,1956
1645,1784,-,-,-,173,97,155,155,1411.0,6,3218,-,.---,5099,Milwaukee Braves,1956
1646,1518,-,-,-,139,91,154,154,1395.2,8,3044,-,.---,4653,Cincinnati Redlegs,1956
1647,1719,-,-,-,183,101,154,154,1395.1,13,3321,-,.---,5141,New York Yankees,1956
1648,1653,-,-,-,159,97,154,154,1408.0,14,3186,-,.---,4936,Baltimore Orioles,1956
1649,1756,-,-,-,168,103,154,154,1413.1,22,3280,-,.---,5139,St. Louis Cardinals,1956
1650,1685,-,-,-,162,98,154,154,1369.2,22,3100,-,.---,4883,Kansas City Athletics,1956
1651,1693,-,-,-,159,102,154,154,1377.0,15,3129,-,.---,4924,Washington Senators,1956
1652,1546,-,-,-,151,106,154,154,1417.2,12,3110,-,.---,4762,Detroit Tigers,1956
1653,1658,-,-,-,136,114,154,154,1399.0,8,3284,-,.---,5056,Brooklyn Dodgers,1956
1654,1400,-,-,-,117,107,156,156,1401.2,9,3052,-,.---,4559,Philadelphia Phillies,1956
1655,1577,-,-,-,140,122,156,156,1403.1,19,3204,-,.---,4903,Chicago Cubs,1956
1656,1831,-,-,-,179,130,154,154,1376.2,9,3163,-,.---,5124,Boston Red Sox,1956
1657,1520,-,-,-,154,126,153,153,1380.2,21,3095,-,.---,4741,Cleveland Indians,1956
1658,1777,-,-,-,180,143,154,154,1398.2,14,3210,-,.---,5130,New York Giants,1956
1659,1638,-,-,-,143,145,155,155,1395.0,14,3065,-,.---,4848,Pittsburgh Pirates,1956
1660,1686,-,-,-,147,87,155,155,1389.0,8,3166,-,.---,4939,Cincinnati Redlegs,1955
1661,1686,-,-,-,149,90,154,154,1368.2,9,3205,-,.---,4981,Brooklyn Dodgers,1955
