,A,CS2,C_WP,DER,DP,E,G2,GS2,INN,PB,PO,SB2,SBPCT,TC,team,year
94,1525,30,48,.685,145,79,162,1458,12939.0,11,4313,87,.744,5917,Kansas City Royals,2016
95,1623,42,62,.691,132,81,162,1458,12870.0,9,4290,79,.653,5994,Cincinnati Reds,2016
96,1462,43,57,.701,135,80,162,1458,12966.0,10,4322,71,.623,5864,Los Angeles Angels,2016
97,1497,30,50,.687,145,82,162,1458,12969.0,17,4323,91,.752,5902,Philadelphia Phillies,2016
98,1522,37,55,.680,127,87,162,1458,13068.0,6,4356,73,.664,5965,San Francisco Giants,2016
99,1389,37,53,.669,146,84,162,1458,12783.0,14,4261,85,.697,5734,Detroit Tigers,2016
100,1434,29,44,.701,139,86,162,1458,13020.0,10,4340,94,.764,5860,Washington Nationals,2016
101,1570,26,53,.684,145,92,162,1458,13185.0,8,4395,119,.821,6057,Toronto Blue Jays,2016
102,1367,28,40,.704,131,88,162,1458,13002.0,19,4334,68,.708,5789,Los Angeles Dodgers,2016
103,1594,32,38,.688,164,94,162,1458,13053.0,7,4351,54,.628,6039,St. Louis Cardinals,2016
104,1656,35,73,.700,139,95,162,1458,13026.0,13,4342,121,.776,6093,Chicago Cubs,2016
105,1609,34,53,.686,175,94,162,1458,12969.0,8,4323,77,.694,6026,Baltimore Orioles,2016
106,1456,29,55,.667,125,92,162,1458,12912.0,7,4304,102,.779,5852,New York Mets,2016
107,1468,26,83,.704,102,95,162,1458,13038.0,21,4346,65,.714,5909,New York Yankees,2016
108,1578,30,58,.685,137,97,162,1458,12972.0,20,4324,99,.767,5999,Atlanta Braves,2016
109,1662,28,58,.680,156,99,162,1458,12966.0,15,4322,95,.772,6083,Pittsburgh Pirates,2016
110,1526,14,86,.683,153,99,162,1458,13014.0,16,4338,102,.879,5963,Houston Astros,2016
111,1433,22,83,.702,129,100,162,1458,13005.0,15,4335,83,.790,5868,Tampa Bay Rays,2016
112,1422,26,73,.701,147,103,162,1458,12963.0,15,4321,80,.755,5846,Seattle Mariners,2016
113,1604,32,82,.688,140,108,162,1458,12969.0,12,4323,69,.683,6035,Arizona Diamondbacks,2016
114,1616,28,63,.696,173,108,162,1458,12909.0,8,4303,87,.757,6027,Texas Rangers,2016
