,AO1,BB1,BK,CG,CS1,ER,ERA,G1,GF,GIDP,GO1,GO_AO1,GS,H1,HB,HLD,HR1,IBB1,IP,L,NP,OBP1,OPS,PK,R1,SB1,SHO,SLG1,SO1,SV,SVO,TBF,W,WHIP,WP,WPCT,team,year
47,890,280,4,0,14,461,4.49,104,104,57,924,1.04,104,895,43,64,142,12,925.0,55,15186,.310,.741,5,498,34,4,.430,917,36,54,3949,49,1.27,35,.471,San Diego Padres,2018
48,989,379,4,0,22,511,4.92,105,105,65,814,0.82,105,899,45,58,164,4,935.1,51,16364,.326,.771,10,530,70,2,.444,933,25,35,4060,54,1.37,69,.514,Los Angeles Angels,2018
49,802,348,1,1,14,418,4.05,104,103,95,1003,1.25,104,870,46,51,129,12,930.0,49,15442,.321,.735,8,455,52,7,.414,884,25,45,3957,55,1.31,41,.529,Chicago Cubs,2018
50,888,328,3,0,21,448,4.25,105,105,67,932,1.05,105,889,35,50,132,25,948.2,52,15624,.315,.739,11,472,26,7,.424,925,24,37,4001,53,1.28,35,.505,Arizona Diamondbacks,2018
51,872,327,4,1,19,439,4.30,104,103,62,840,0.96,104,876,48,59,117,26,919.2,49,15524,.318,.723,8,470,53,8,.405,985,27,47,3949,55,1.31,32,.529,Washington Nationals,2018
52,1076,337,2,1,31,442,4.12,107,105,67,928,0.86,107,894,45,61,123,12,966.1,47,15861,.313,.715,10,467,62,6,.402,817,25,44,4098,59,1.27,47,.557,Oakland Athletics,2018
53,803,350,2,1,15,424,4.13,104,103,93,962,1.20,104,844,42,59,135,26,923.2,48,15264,.319,.734,3,456,20,4,.415,895,33,42,3896,56,1.29,21,.538,St. Louis Cardinals,2018
54,950,368,3,1,16,440,4.36,102,101,77,797,0.84,102,828,49,34,127,32,908.1,63,15242,.322,.736,4,468,33,7,.414,885,21,31,3879,39,1.32,47,.382,Miami Marlins,2018
55,766,339,6,0,14,400,3.98,102,102,79,875,1.14,102,811,35,51,126,24,904.1,55,15132,.313,.717,3,428,53,9,.404,982,27,39,3809,47,1.27,22,.461,Cincinnati Reds,2018
56,908,287,2,4,19,381,3.71,104,100,53,811,0.89,104,817,47,47,134,9,925.0,42,15069,.300,.713,10,417,38,11,.413,982,30,40,3852,62,1.19,28,.596,Cleveland Indians,2018
57,860,307,6,0,23,378,3.50,107,107,79,930,1.08,107,819,31,75,114,21,973.1,48,15622,.291,.666,7,409,46,6,.375,1037,26,43,3985,59,1.16,40,.551,Tampa Bay Rays,2018
58,854,243,4,2,11,349,3.32,106,104,65,968,1.13,106,788,39,44,125,17,944.2,37,14934,.279,.660,5,405,38,11,.382,967,29,48,3861,69,1.09,25,.651,Los Angeles Dodgers,2018
59,870,300,3,0,13,401,3.78,106,106,45,870,1.00,106,785,27,61,157,0,954.1,39,15762,.284,.687,2,432,55,7,.403,1074,27,42,3929,67,1.14,31,.632,Houston Astros,2018
60,1495,589,8,2,42,824,5.18,162,160,130,1434,0.96,162,1552,67,54,234,29,1431.0,115,24647,.349,.820,5,892,89,7,.471,1203,28,46,6340,47,1.50,81,.290,Baltimore Orioles,2017
61,1527,549,4,2,33,786,4.94,162,160,121,1457,0.95,162,1542,51,52,205,28,1432.0,104,24084,.342,.788,6,833,60,8,.446,1157,33,57,6284,58,1.46,68,.358,Kansas City Royals,2017
62,1515,491,8,1,18,783,4.92,162,161,146,1517,1.00,162,1516,72,90,222,23,1431.0,95,23763,.335,.798,9,848,76,5,.464,1121,42,56,6231,67,1.40,57,.414,Texas Rangers,2017
63,1409,532,8,1,24,741,4.63,162,161,118,1538,1.09,162,1491,50,74,228,60,1441.0,95,23971,.332,.782,4,819,83,6,.450,1258,38,57,6279,67,1.40,48,.414,Cincinnati Reds,2017
64,1488,551,5,0,39,772,4.85,162,162,117,1382,0.93,162,1476,67,83,208,19,1433.2,89,24498,.335,.782,11,832,136,3,.446,1298,39,59,6265,73,1.41,71,.451,Toronto Blue Jays,2017
65,1598,491,4,0,37,726,4.58,162,162,100,1342,0.84,162,1423,60,76,216,20,1425.1,98,23954,.323,.762,8,796,79,2,.439,1215,37,61,6130,64,1.34,54,.395,Detroit Tigers,2017
66,1460,573,0,2,29,721,4.50,162,160,110,1372,0.94,162,1425,80,83,198,34,1443.1,84,24927,.332,.755,11,775,85,7,.423,1377,37,65,6287,78,1.38,59,.481,Minnesota Twins,2017
67,1367,519,4,0,30,713,4.40,162,162,114,1470,1.08,162,1430,68,83,185,28,1457.0,96,23904,.324,.742,20,767,88,5,.417,1399,36,53,6254,66,1.34,52,.407,San Diego Padres,2017
68,1566,653,9,0,39,771,4.83,162,162,100,1367,0.87,162,1404,89,67,196,25,1437.0,100,24926,.340,.761,15,848,133,8,.422,1259,34,53,6339,62,1.43,94,.383,Chicago White Sox,2017
69,1528,605,6,1,42,762,4.76,161,160,115,1393,0.91,161,1388,71,80,192,73,1442.0,98,24630,.333,.757,12,809,60,12,.424,1249,30,53,6236,63,1.38,47,.391,Miami Marlins,2017
70,1477,400,3,3,26,664,4.13,162,159,131,1400,0.95,162,1396,72,109,195,21,1448.2,73,23083,.308,.726,12,711,66,12,.418,1328,60,81,6073,89,1.24,57,.549,Seattle Mariners,2017
71,1443,524,4,1,31,641,3.95,162,161,139,1523,1.06,162,1387,45,82,156,37,1461.1,89,23807,.318,.722,11,699,93,15,.404,1269,36,66,6191,73,1.31,44,.451,San Francisco Giants,2017
72,1437,497,6,3,36,637,4.00,161,158,98,1425,0.99,161,1380,69,81,174,43,1434.0,79,23580,.319,.726,2,693,72,16,.407,1336,40,60,6144,82,1.31,95,.509,Pittsburgh Pirates,2017
73,1289,525,8,0,25,699,4.33,163,163,137,1498,1.16,163,1377,52,105,184,24,1452.1,72,23847,.319,.736,13,745,92,10,.417,1409,51,78,6154,91,1.31,70,.558,Colorado Rockies,2017
74,1302,500,7,0,35,665,4.14,162,162,119,1441,1.11,162,1366,60,104,171,35,1445.2,82,23750,.316,.723,12,728,100,12,.407,1465,44,64,6138,80,1.29,81,.494,Philadelphia Phillies,2017
75,1422,546,3,1,33,662,4.15,162,161,147,1333,0.94,162,1353,65,90,205,17,1437.1,82,24030,.322,.738,7,722,46,9,.415,1386,35,61,6108,80,1.32,87,.494,Los Angeles Angels,2017
76,1440,484,2,3,36,661,4.07,162,159,104,1373,0.95,162,1364,71,65,185,32,1460.2,85,24014,.313,.711,15,707,134,15,.398,1446,41,59,6178,77,1.27,26,.475,New York Mets,2017
77,1401,593,4,1,13,622,3.85,162,161,129,1519,1.08,162,1354,67,89,144,49,1455.1,74,24353,.324,.702,8,691,47,8,.378,1337,43,64,6271,88,1.34,63,.543,St. Louis Cardinals,2017
78,1375,407,2,5,29,611,3.77,162,157,98,1335,0.97,162,1349,59,76,200,29,1457.1,71,23458,.300,.714,8,648,81,17,.414,1544,41,58,6071,91,1.20,54,.562,Cleveland Indians,2017
79,1465,487,6,2,43,649,4.04,162,160,98,1322,0.90,162,1320,76,82,198,37,1446.0,80,23698,.311,.721,9,682,75,7,.411,1417,40,54,6087,82,1.25,42,.506,Washington Nationals,2017
80,1397,622,3,1,40,598,3.65,163,162,137,1525,1.09,163,1319,66,103,157,33,1476.1,68,24692,.323,.698,18,645,84,18,.376,1333,46,65,6264,95,1.31,46,.583,Chicago Cubs,2017
81,1232,522,5,2,27,605,3.72,162,160,136,1565,1.27,162,1313,57,111,174,43,1463.0,80,24081,.310,.698,8,644,66,9,.388,1448,39,66,6139,82,1.25,69,.506,Arizona Diamondbacks,2017
82,1427,512,3,2,30,608,3.75,162,160,88,1280,0.90,162,1305,84,108,176,8,1458.2,54,24619,.309,.698,9,647,64,14,.390,1558,46,66,6166,108,1.25,51,.667,Boston Red Sox,2017
